Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
20,"ableU On-demand Professional Development (Ablenet university recorded webinars related to assistive technology for learning, communication and play)",Debbie,,,,Assistive Technology Team,External,Ablenet,unknown,,https://www.ablenetinc.com/ablenet-university-recorded-webinars/,May 28-21,"Clinicians, Families/caregivers, Educators, Health professional students",web link,"Services, Supports & Community Resources",Equipment and Supplies,Training Resources,,Recreation and Leisure Activities,,,Equipment and Supplies,Equipment and Maintenace Information,,"Freely available webinars on a variety of topics related to using assistive technology (e.g., switches, communication devices, environmental controls, mounting, toys, computer and mobile technology adaptations) for classroom and home to assist those with disabilities to learn, communicate, interact and control of their environment",All,"Assistive technology, Communication, Hand, arm use, printing, Learning, education, Play, recreation, physical activity","education, assistive technology, switches, environmental control, play, learning, augmentative and alternate communication, AAC, webinar, assistive device",Y,N ,,"Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers, need to rename",Debbie,All,USA
21,Aboriginal Infant Development Programs of B.C. ,Salina,,,,,External,Aboriginal Infant Development Programs,unknown,2022,https://www.aidp.bc.ca/aidp-programs,"May 2, 2022","Families, caregivers, clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,--,Funding and Financial Supports,Charities and Grants,--,Find Care and Support Services in BC,Assessment and Treatment Services,Early Intervention Services,"offer support to families of infants who are at risk for or have been diagnosed with developmental delays. Programs are voluntary, family centered, and primarily focused on children ages 0-3 (in some communities 0 – 6); support families by providing home visits, activity planning, and developmental and family needs assessments in culturally sensitive and meaningful ways. Consultants also assist families in accessing other health, social, and community services; offer consultants ongoing, culturally relevant expert support and training.",All,All,"community, needs, gaps, children, birth, age six, early prevention, intervention, support services, learning, education, ",N,N,N,,,"Infant/Toddler (0-3 years), Early Years (0-6 years)",BC
23,Aboriginal Supported Child Development Program,Maddy,,,,,External,Aboriginal Supported Child Development,,© 2021,https://www.ascdp.bc.ca/,20-Nov-21,"families, caregivers, clinicians, educators, children/youth",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,,,,,,,"Programs across BC for First Nations, Metis, and Inuit children who require extra support ",,,"child care, daycare, before/after school care, preschool, development, cultural safety, indigenous, physical, cognitive, communication, behaviour",N,N,N,,,All,BC
25,About Autism: Autism Speaks Canada,Tanja,,Add,2-Jun-21,,External,Autism Speaks,,2021,https://www.autismspeaks.ca/about/about-autism/,16-Feb-22,Families/caregivers,web link,Making Treatment Choices,Learn About Health Conditions,,,,,,,,,Charitable organisation that provides families with information on autism,Autism spectrum disorder,All,"autism, asd, autism spectrum disorder",N,N,N,,Cathy P. ,All,Canada
26,About Kid's Health,Anosha,,,,,External,Sick Kids,2021,2021,https://www.aboutkidshealth.ca/,19-Sept-21,All,web link,,,,,,,,,,,"A health education website for children, youth and their caregivers.",various disabilities,,"kids, health, learnining, prevention, children, ",N,N,N,,,"school age, youth, infant",Not applicable 
27,About My COVID Disability Q,Maddy,,,,,External,Child Bright,,,https://www.child-bright.ca/new-blog/2020/5/11/mycovidq,24-Nov-21,"families, caregivers, clinicians",web link,Making Treatment Choices,COVID-19 Resources,,,,,,,,,Twitter question and answers hub for children and youth with disabilities and their families to ask questions relaitng to disabilities and COVID-19 ,,,"COVID-19, twitter, disabilities, children, youth, parents, health, research, science, policy, leisure",N,,,,,,
28,Academic Communication Equity BC (ACE-BC),Maddy,,,,,External,ACE-BC,,,https://ace-bc.ca/,24-Nov-21,"families, caregivers, clinicians, educators, children/youth",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,School Supports,Other Resources,,,,,,,"Services to support equitable access for students who are deaf, hard of hearing, and deaf-blind",deaf,,"inclusive, accessibility, learning, school, post-secondary, transitions",N,N,N,,,Youth,BC
29,Access 2 Program,Tanja,,Add,"June 23, 2021",,External,Easter Seals,?,2021,https://access2card.ca/participating-venues/,"February 16, 2022","Families/caregivers, Children/youth",web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Arts and Cultural Programs,,,,,,,,"The Access 2 card is for people of all ages and types of permanent disabilities who require the assistance of a support person at hundreds of participating entertainment, cultural and recreational venues across Canada.",All,"Play, recreation, physical activity","community support, access, funding, support worker, support person",N,N,N,,Bill M,All,Canada
30,Access Community Therapists Ltd Workshops (seating-related topics),Debbie,,,,Positioning and Mobility Team,External,Access Community Therapists Ltd,unknown,,https://www.accesstherapists.com/workshops,May 31-21,Clinicians,web link,Assessment,Access Training on Assessments,"Webinars, Presentations, Blogs, and Podcasts",,Learn About Health Conditions,,,Learn About Assessments,Other Assessment Resources,,Workshops available in BC for occupational therapists and physical therapists to learn specialized seating assessment and intervention strategies.,"Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Positioning, mobility, lower body, Assistive technology","skin health, pressure injury, prevention, evaluation, seating, sitting posture, positioning, wheelchair, education, training",Y,N,N,,Debbie,All,BC
30,Access Community Therapists Ltd Workshops (dysphagia-related topics),Debbie,,,,Feeding Team,External,Access Community Therapists Ltd,unknown,,https://www.accesstherapists.com/workshops,May 31-21,Clinicians,web link,Assessment,Access Training on Assessments,"Webinars, Presentations, Blogs, and Podcasts",,Learn About Health Conditions,,,Learn About Assessments,Other Assessment Resources,,Workshops available in BC for occupational therapists to learn specialized dysphagia assessment and intervention strategies.,"Cerebral palsy , Brain injury, concussion, Developmental delay , Neuromuscular, genetic and rare conditions","Swallowing, eating, drinking  ","oral motor, dysphagia, prevention, treatment, assessment, education, training, eating, drinking, swallowing, ",Y,N,N,,Debbie,School Age (5-19 years),BC
31,Access Methods Determination Flow Chart,Debbie,,"review content, brand as SHHC document & id authors (Roslyn Livingstone, Nicole Wilkins, Kathie Marina)",,Assistive Technology Team,Internal,"Roslyn Livingstone, Nicole Wilkins, Kathie Marina, (ATT OTs)",2008,,www.seatingandmobility.ca/Libraries/Pdfs/2008Access_flow_chart.sflb.ashx,May 31-21,clinicians,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,,,,,,,,"Flowchart outlining process for determining most suitable access method for power mobility (i.e. what body sites and movements are most suitable for operating a power wheelchair). A similar process may be useful for determining access for other technologies such as communication (AAC), learning, play or environmental control.  ","Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Assistive technology, Hand, arm use, printing","power wheelchair, power mobility, access method, input device, control, evaluation, decision-making, hand use, access assessment, assistive device",N,N,,Power Mobility Assessment,Debbie,All,BC
32,accessFind,Debbie,,,,,External,accessiBe,,,https://accessibe.com/blog/news/introducing-accessfind-search-engine,June 18-21,"families, caregivers, educators, clinicians",web link,"Services, Supports & Community Resources",,,,,,,,,,"world's first search engine designed for only accessible websites, to better meet the needs of those with disabilities",all,All,"disability, accessibility, inclusion, internet, searching, web accessibility, search engine, compliance, web content",N,N,,,Debbie,All,North America
33,Accessibility at YVR,Claire,,,,,External,YVR,,,https://www.yvr.ca/en/passengers/navigate-yvr/accessibility-at-yvr,"August 3, 2021","families, caregivers, children/youth, clinicians",web link,,,,,,,,,,,Information about accessibility at YVR,various disabilities,,"customer care, information, accessibility features, accessibility travel planning, accessible transportation, curbside assistance, getting to and from YVR, moving through the terminals, wheelchairs, Aira, washrooms, animal relief area, public telephones, paging, porter service, travel",N,,,,,All,Vancouver
34,Accessible Braille Training,Maddy,,,,,External,UEB Online,,,https://uebonline.org,24-Nov-21,"families, caregivers, clinicians, educators",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,School Supports,,,,,,,,Free online training programs in braille literacy and mathematics,visual impairment,,"blind, visual impairment, braille, accessible, training, literacy, mathematics",Y,,,,Jen E.,All,
35,Accessible parking ,Claire,,,,,External,City of Vancouver,,,https://vancouver.ca/streets-transportation/accessible-parking.aspx,"August 3, 2021","families, caregivers, clinicians, educators",web link,,,,,,,,,,,Information about accessible parking ,various disabilities,,"designated disabled parking zones, accessible parking meter spots, SPARC permit, Queen Elizabeth Theatre, Vancouver Playhouse, report misuse, report a broken meter, travel",N,,,,Leslie L. ,All,Vancouver
36,AccessNow,Claire/salina,,,,,External,AccessNow,,2022,https://accessnow.com/about/,"May 31, 2022","families, caregivers, clinicians, children/youth",web link,Get Involved,Other Events and Information,,,,,,,,,"We are building a connected platform to empower all people to discover a world of accessible opportunities, make better decisions and remove barriers. Leveraging our intelligent technology, we are learning how accessible the world is and mapping as many places as we possibly can. ",All,,accessibility map; restaurants; hotels; shops; attractions; trails; parks; get involved; app;,N,N,N,,Steph,All,Universal
37,Acute Rehabilitation: Sunny Hill Health Centre,Maddy,,,,,Internal,Sunny Hill Health Centre,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/acute-rehabilitation,24-Nov-21,"families, caregivers, clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,"Specialized, intensive rehabilitation services for children with a range of disabilities",,,"acute rehabilitation, therapy, education support, postoperative care",N,,,,,,
38,Adapted and Integrated Programs: City of Vancouver,Claire/salina,,,,,External,City of Vancouver,,2022,https://vancouver.ca/parks-recreation-culture/adapted-and-integrated-programs.aspx,"May 31, 2022","families, caregivers, clinicians, children/youth",web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Physical Activity,,,,,,,,"Information about adapted and integrated recreational activities for children, youth, adults, and seniors with disabilities offered by the Vancouver Park Board",All,,"program, recreation, children, youth, adults, seniors, disabilities, activities, sports, aquatic facilities, aquatic programs, beaches, exercise classes, social and recreation activities, register",N,,,,Kim,All,BC
39,Adapted Soccer,Tanja,Amber P./Andrea R.,Integrate evidence and update for currency,,Therapeutic Recreation,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Adapted Yoga,Tanja,Amber P./Andrea,Integrate evidence and update for currency,,Therapeutic Recreation,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ADHD Webinar Series for Parents and Caregivers ,Claire/Salina,,,,,Internal,"Kelty Mental Health Resource Centre, BC Children's Hospital",unknown,January-March 2021,https://keltymentalhealth.ca/ADHDWebinarSeries,"May 2, 2022","families, caregivers, clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports for Families,Family/Caregiver Support Groups,Find Care and Support Services in BC,School Supports,Other Resources,,,,"Webinar series and powerpoint slides (in pdf format) about ADHD; the basics of ADHD, evidence based treatment options, self-regulation tools for children with ADHD, tips on parenting a child with ADHD, and how to help a child with ADHD at school",Attention deficit hyperactivity disorder ,"Behaviour, emotion, social skills, Learning, education, Personal care, home routines","webinar, powerpoint slides (in pdf format), self-regulation, tools, children, youth, treatment, parenting, school, COVID-19 ",Y,,,,,All,BC
42,Adolescent/Adult Sensory Profile ,Debbie,Lex,,,,Internal – Evidence Centre,Catana Brown & Winnie Dunn,Tool 2002,,see Ax Info Card spreadsheet for associated links,"July 19, 2021",Clinicians,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,evaluates sensory processing patterns in the context of everyday life.,All,"Vision, hearing, touch, other senses, Behaviour, emotion, social skills, Learning, education, Personal care, home routines","sensory processing, sensory integration, perception, environment, Taste, Smell, Visual, Auditory, sensitivity, avoidance",N,N,,,,"School Age, Youth",
43,Adult Employment Programs,Claire/Salina,,,,,External,Pacific Autism Family Network,,2022,https://pacificautismfamily.com/adult-employment-programs/,"May 2, 2022","families, caregivers, clinicians, youth",web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,Age and Healthcare Transitions,Youth to Adulthood,Building Independence,Advocating for Your Family's Needs,,,"Pacific autism family centre offers a skill-building program for autistic adults as well as paid, goal oriented work opportunities",Autism spectrum disorder,"Thinking, cognition, Behaviour, emotion, social skills, Learning, education, Other","experiential learning, pre-vocational, skills, food industry, custodial industry, landscaping industry, goal oriented",N,,,,,"Youth (15-19+ years), School Age (5-19 years)",BC
44,Adult Special Education,Maddy,,,,,External,Government of BC,,© 2021,https://www2.gov.bc.ca/gov/content/education-training/adult-education/adult-special-education,24-Nov-21,"families, caregivers, children/youth, clinicians, educators",web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,,,,,,,List of institutions that offer adult special education programs in BC,,,"adult special education, post-secondary, university, college",N,N,N,,,Youth,BC
45,Adventures of a Stuttering Superhero,Steph,,,,,Internal,Family Support and Resource Centre,2016,,https://bcch.andornot.com/en/permalink/catalog119842,30-Aug-21,"families, caregivers, educators",web link,,,,,,,,,,,Children's book that talks about stuttering in a way that fosters empathy,,,"book, stuttering, children, speech",N,,,,SLPs book list,All,
46,Advocacy Fact Sheet: Representative for Children and Youth,Maddy,,,,,External,Representative for Children and Youth,,,https://rcybc.ca/wp-content/uploads/2019/06/advocacy_fact_sheet_-_final.pdf,Nov-24-21,"families, caregivers, children/youth",pdf,"Services, Supports & Community Resources",Advocating for Your Family's Needs,Agencies Who Support Advocacy,,Age and Healthcare Transitions,Youth to Adulthood,"Transition Support, Services and Tools",,,,"Support for children, youth, and young adults receiving government funded services to know their rights and advocate for their needs",,,"advocacy, children, youth, transition, special needs",N,,,,,,BC
47,Affordable Childcare Benefit,Maddy,,,,,External,Government of BC,,© 2021,https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/child-care-funding/child-care-benefit,24-Nov-21,"families, caregivers, clinicians",web link,"Services, Supports & Community Resources",Funding and Financial Supports,Government Funding and Programs,,,,,,,,"Information about the Affordable Child Care Benefit, a monthly payment to help eligible families with the cost of child care",,,"Affordable Child Care Benefit, financial support, government funding",N,,,,,All,BC
48,Aged Out,Claire,,,,,External,The Adoptive Families Association of BC,,,https://agedout.com/,"July 26, 2021",,,,,,,,,,,,,,,,,,,,,,,
49,Ages & Stages: American Academy of Pediatrics,Maddy,,,,,External,American Academy of Pediatrics,,,https://www.healthychildren.org/english/ages-stages/pages/default.aspx,"November 24, 2021",Families/caregivers,web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Preschool to School,,Age and Healthcare Transitions,Youth to Adulthood,Post-Secondary Education and Employment Resources,,,,"Resource for families to know what to expect and plan for at different stages in their child's life, from the prenatal stage to young adulthood.",,,"transition, stages, development, skills, articles",,,,,,,
50,Aging Out of Foster Care,Claire,,,,,External,Government of British Columbia,,,https://www2.gov.bc.ca/gov/content/family-social-supports/youth-and-family-services/teens-in-foster-care/aging-out-of-care,"August 4, 2021","Children/youth, families, caregivers, clinicians, educators",web link,,,,,,,,,,,Information about leaving foster care,All,,"navigating the health care system, transition, education, health and wellness, finding a place to live, ID, Employment, money, personal life,  housing, child care, tuition, health care, school, rehabilitation program, young adults, phone, data plan, The Federation of BC Youth in Care Networks, government care",N,,,,,All,BC
51,Alberta Infant Motor Scale (AIMS) 2nd edition,Debbie,"Lex, Debbie",,,,Internal – Evidence Centre,"Martha Piper and Johanna Darrah
                                                                                ",Tool 2022,,see Ax Info Card spreadsheet for associated links,28-Jul-21,Clinicians,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,assesses infants' motor abilities,"Neuromuscular, genetic and rare conditions, Developmental delay , Brain injury, concussion, Cerebral palsy , Spinal cord injury, spina bifida","Positioning, mobility, lower body"," gross motor, development, prone, supine, sitting, standing",N,N,AIMS E4P,,,Infant/Toddler (0-3 years),
53,Alert Program,Claire,,,,,External,The Alert Program,,,Self-Regulation Alert Program® Online | AOTA Approved Provider,"September 10, 2021","Clinicians, families, caregivers, educators",web link,,,,,,,,,,,"Our life's work is focused on helping folks, just like you, understand the importance of self-regulation in our day-to-day lives. When we all understand how to be alert, attentive, and focused, life is better for children, parents, caregivers, teachers, therapists, administrators, veterans, seniors, etc. In fact, everyone can benefit from the Alert Program® and we are here to make self-regulation easy!",No specific diagnosis,,"self-regulation, teachers, parents, therapists, children, teens, adult clients, adults, program, alert, focus, attention, concentration, concentrate, materials, resources, free, online courses",Y,,,,Michelle L. / Steph G.,All,
