"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
Vetting completed to objectivity/conflict of interest,,,2007,,,,,,7,"A Neuropsychological Assessment of Persons with Physical Disability, Visual Impairment or Deafness.",Ready for upload,Tanja,,add,n/a,04-Jun-21,,Pub  Med,"Felicia Hill-Briggs, Jack G Dial, Donna A Morere, Arthur Joyce",2007,2007,https://pubmed.ncbi.nlm.nih.gov/17303374/,09-Sep-21,Clinicians,psychologists,Article,PDF,Assessment,,,,,,,,,,Assessment,"Summary of issues pertaining to neuropsychological test selection and administration, common accommodation and modification practices, test development and validation, and disability-related factors that influence interpretation of test results when assessing individuals with physical, visual and/or hearing impairments.","Motor impairment, visual impairment, hearing impairment","cognition, motor function, behaviour, language, and executive functioning","Neuropsychological testing, Motor impairment, visual impairment, hearing impairment, cognition, motor function, behaviour, language, and executive functioning",N,N,N,,Jen E.,,,846,,,Advanced,
Vetting completed to criteria objectivity/conflict of interest. Ask Kim re: currency. Is there a content expert we can contact?,,,2014,,,,,,8,A Parent's Handbook on Inclusive Education,Web-ready,Maddy,N/A,,,,,"External, InclusionBC",InclusionBC,2014,,https://inclusionbc.org/our-resources/parent-handbook/,30-Aug-21,"families/caregivers, clinicians, educators",All,Guide,pdf,Community Supports and Services,,,,,,,,,,Community Supports and Services,Guide to assist parents of a child with disabilities to understand educational issues and advocate for their child,,,"guide, handbook, inclusive, education, advocacy, school",N,N/A,N/A,,,,BC,251,,,,
"June 22, 2021",,,,,,,,,11,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Care Pathway Early Detection of Cerebral Palsy,Ready for upload,Tanja,,Include,N/A,11-May-21,,AACPDM,AACPDM,Sep-17,Jun-20,https://www.aacpdm.org/publications/care-pathways/early-detection,,"Clinicians, families/caregivers","Physician, nurse, OT, PT, SLP",Tabbed,"Web, PDF",Assessment,,,,,,,,,,Assessment,Management care pathway,"Cerebral palsy, Diagnosis",N/A (or diagnosis?),"early detection, diagnosis",N,Available plain language summary,,,Tanja M.,,N/A,705,,,Advanced (lay summary beginner),
"June 22, 2021",,,,,,,,,12,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Hip Surveillance in Cerebral Palsy Care Pathway,Ready for upload,Tanja,,Include,N/A,11-May-21,,AACPDM,AACPDM,Sep-17,Jun-18,https://www.aacpdm.org/publications/care-pathways/hip-surveillance,,"Clinicians, families/caregivers","Physician, nurse, OT, PT, SLP",Tabbed,"Web, PDF",Assessment,,,,,,,,,,Assessment,Management care pathway,"Cerebral Palsy, Hip displacement, Hip surveillance",hip health,"hip surveillance, hip displacement",N,Available plain language summary,,,Tanja M.,,N/A,704,,,Advanced (lay summary beginner),
"Jun 22, 2021",,,,,,,,,13,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM)  Central Hypotonia Care Pathway,Ready for upload,Tanja,,Include,N/A,11-May-21,,AACPDM,AACPDM,Sep-17,Mar-21,https://www.aacpdm.org/publications/care-pathways/central-hypotonia,,Clinicians,"Physician, nurse, OT, PT, SLP",Tabbed web resource,"Web, PDF",Intervention,,,,,,,,,,Intervention,Management care pathway,Hypotonia,movement disorder,hypotonia,N,Available plain language summary,,,Tanja M. ,,N/A,948,,,Advanced (lay summary beginner),
"Jun 22, 2021",,,,,,,,,14,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Dystonia Care Pathway,Ready for upload,Tanja,,Update links; check for other useful pathways as per Diane W. 's recommendation,N/A,6-May-21,,AACPDM,AACPDM,Sep-16,Oct-19,https://www.aacpdm.org/publications/care-pathways/dystonia,,"Clinicians, families/caregivers","Physician, nurse, OT, PT",Tabbed web resource,"Web, PDF",Intervention,,,,,,,,,,Intervention,Management care pathway with supporting evidence and tools,Dystonia,movement disorder,dystonia,N,Available plain language summary,,,Diane W. ,,N/A,944,,,Advanced (lay summary beginner),
"Jun 22, 2021",,,,,,,,,15,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Osteoporosis Care Pathway,Ready for upload,Tanja,,Update links. ,N/A,6-May-21,,AACPDM,AACPDM,Sep-17,Nov-19,https://www.aacpdm.org/publications/care-pathways/osteoporosis,,Clinicians,"Physician, nurse, OT, PT",Tabbed web resource,"Web, PDF",Intervention,,,,,,,,,,Intervention,Management care pathway,Osteporosis,bone health,osteoporosis,N,Available plain language summary,,,Diane W. ,,N/A,945,,,Advanced (lay summary beginner),
"Jun 22, 2021",,,,,,,,,16,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Siahlorrhea Care Pathway,Ready for upload,Tanja,,Update links. ,N/A,6-May-21,,AACPDM,AACPDM,Sep-17,Jun-18,https://www.aacpdm.org/publications/care-pathways/sialorrhea,,Clinicians,"Physician, nurse, OT, PT, SLP",Tabbed web resource,"Web, PDF",Intervention,,,,,,,,,,Intervention,Management care pathway,Sialorrhea,oral motor control,"drooling, sialorrhea",N,Available plain language summary,,,Diane W. ,,N/A,946,,,Advanced (lay summary beginner),
June 23-21,,,,,,,,,17,"Abilities, Canada’s Lifestyle Magazine for people with disabilities",web-ready,Debbie,,,,,,Canadian Abilities Foundation ,,,,https://www.abilities.ca/,May 27-21,"Families/caregivers, Clinicians, Educators",all,website ,"webpages, weblinks, videos, images, podcasts,","Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","Online publication providing exchange of information, inspiration and opportunities for people with disabilities. Topics include accessibility, health and activity, independent living, work and money, family life, and job board.",,"healthy living, inclusion, accessibility","health, lifestyle, participation, acceptance, inclusion",no,,,,Debbie,,,207,,,all,
June 23-21,,,,,,,,,17,"Abilities, Canada’s Lifestyle Magazine for people with disabilities",web-ready,Debbie,,,,,,Canadian Abilities Foundation ,,,,https://www.abilities.ca/,May 27-21,"Families/caregivers, Clinicians, Educators",all,website ,"webpages, weblinks, videos, images, podcasts,",Intervention,,,,,,,,,,Intervention,"Online publication providing exchange of information, inspiration and opportunities for people with disabilities. Topics include accessibility, health and activity, independent living, work and money, family life, and job board.",,"healthy living, inclusion, accessibility","health, lifestyle, participation, acceptance, inclusion",no,,,,Debbie,,,208,,,all,
June 23-21,,,,,,,,,18,AbilityOnline (child and youth social network),web-ready,Debbie,,,,,,,,,,https://abilityonline.org/,May 27-21,"Children/youth, Families/caregivers, Clinicians",all,"website, social media","webpages, weblinks, videos, images, ",Community Supports and Services,,,,,,,,,,Community Supports and Services,"Online community connecting children and youth with a variety of disabilities to promote inclusion and acceptance; separate sections for parents and professionals who support them to network, free membership but provisions in place for screening, safety and respectful communication.",,"communication, social/emotional well-being, inclusion, recreation","friendship, acceptance, inclusion, social connection, social support, emotional support, recreation",no,,,,Debbie,,,206,,,all,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,,,19,Ablenet Remarkable Ideas [activity suggestions for using assistive technology],update title and weblink,Debbie,,,,,,Ablenet,,,,https://www.ablenetinc.com/remarkableideas/,May 28-21,"Families/caregivers, Clinicians, Educators","SLP, OTs,  recreation therapists, HCP students,",website,"webpages, weblinks, photos, pdfs","Services, Supports, and Community Resources",,,,,,,,,,"Services, Supports, and Community Resources","Online collection of freely available activity suggestions using assistive technology (e.g., switches, communication devices, environmental controls) for classroom and home ","those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment","assistive device use,","education, assistive technology, switch use, environmental control, play, learning,  alternate access, augmentative and alternate communication, AAC, activity suggestions, social interaction",no,,,Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers,Debbie,,,209,,,All,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,,,19,Ablenet Remarkable Ideas [activity suggestions for using assistive technology],update title and weblink,Debbie,,,,,,Ablenet,,,,https://www.ablenetinc.com/remarkableideas/,May 28-21,"Families/caregivers, Clinicians, Educators","SLP, OTs,  recreation therapists, HCP students,",website,"webpages, weblinks, photos, pdfs",Intervention,,,,,,,,,,Intervention,"Online collection of freely available activity suggestions using assistive technology (e.g., switches, communication devices, environmental controls) for classroom and home ","those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment","assistive device use,","education, assistive technology, switch use, environmental control, play, learning,  alternate access, augmentative and alternate communication, AAC, activity suggestions, social interaction",no,,,Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers,Debbie,,,210,,,All,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,,,20,"Ablenet University Recorded Webinars  [topics related to assistive technology for learning, communication and play]",update title and weblink,Debbie,,,,,,Ablenet,,,,https://www.ablenetinc.com/ablenet-university-recorded-webinars/,May 28-21,"Families, Clinicians, Educators","SLP, OTs, psychologists,  recreation therapists, HCP students,",website,"webpages, weblinks, photos, pdfs","Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","Online collection of freely available recorded webinars on topics related to using assistive technology (e.g., switches, communication devices, computers, mobile devices) for learning, communication, play and control of the environment ","those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment",assistive device use,"education, assistive technology, switch use, environmental control, play, learning,  alternate access, augmentative and alternate communication, AAC, activity suggestions, social interaction",yes,,,Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers,Debbie,,,211,,,All,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,,,20,"Ablenet University Recorded Webinars  [topics related to assistive technology for learning, communication and play]",update title and weblink,Debbie,,,,,,Ablenet,,,,https://www.ablenetinc.com/ablenet-university-recorded-webinars/,May 28-21,"Families, Clinicians, Educators","SLP, OTs, psychologists,  recreation therapists, HCP students,",website,"webpages, weblinks, photos, pdfs",Intervention,,,,,,,,,,Intervention,"Online collection of freely available recorded webinars on topics related to using assistive technology (e.g., switches, communication devices, computers, mobile devices) for learning, communication, play and control of the environment ","those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment",assistive device use,"education, assistive technology, switch use, environmental control, play, learning,  alternate access, augmentative and alternate communication, AAC, activity suggestions, social interaction",yes,,,Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers,Debbie,,,212,,,All,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,,,20,"Ablenet University Recorded Webinars  [topics related to assistive technology for learning, communication and play]",update title and weblink,Debbie,,,,,,Ablenet,,,,https://www.ablenetinc.com/ablenet-university-recorded-webinars/,May 28-21,"Families, Clinicians, Educators","SLP, OTs, psychologists,  recreation therapists, HCP students,",website,"webpages, weblinks, photos, pdfs",Assessment,,,,,,,,,,Assessment,"Online collection of freely available recorded webinars on topics related to using assistive technology (e.g., switches, communication devices, computers, mobile devices) for learning, communication, play and control of the environment ","those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment",assistive device use,"education, assistive technology, switch use, environmental control, play, learning,  alternate access, augmentative and alternate communication, AAC, activity suggestions, social interaction",yes,,,Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers,Debbie,,,213,,,All,
Vetting completed to criteria objectivity/conflict of interest,,,,,,Grade 10,,,21,Aboriginal Infant Development Programs of B.C. ,,Claire,,,,,,"External, Aboriginal Infant Development Programs",Aboriginal Infant Development Programs,,,https://www.aidp.bc.ca/aidp-programs,"July 26, 2021","Families, caregivers, clinicians",all,Website/page,web link,community supports & services,,,,,,,,,,community supports & services,Information about Aboriginal Infant Development programs in British Columbia,various disabilities,,"community, needs, gaps, children, birth, age six, early prevention, intervention, support services, learning, coast fraser north, vancouver island, coast fraser south, interior, north, Indigenous, Indigenous services and supports",N,N,N,,,Early Years,BC,476,,,original source,
Vetting completed to criteria objectivity/conflict of interest,,,,,,Grade 10,,,21,Aboriginal Infant Development Programs of B.C. ,,Claire,,,,,,"External, Aboriginal Infant Development Programs",Aboriginal Infant Development Programs,,,https://www.aidp.bc.ca/aidp-programs,"July 26, 2021","Families, caregivers, clinicians",all,Website/page,web link,"community supports & services, intervention",,,,,,,,,,"community supports & services, intervention",Information about Aboriginal Infant Development programs in British Columbia,various disabilities,,"community, needs, gaps, children, birth, age six, early prevention, intervention, support services, learning, coast fraser north, vancouver island, coast fraser south, interior, north, Indigenous, Indigenous services and supports",N,N,N,,,Early Years,BC,1347,,,original sources,
Ask Kim if she has heard back re: updated version of document. ,,,2015,,,,,,22,Aboriginal Patient Liasion Program Services,web ready,Claire,N/A,,,,,"Internal, BC Children's Hospital, Aboriginal Health","BC Children's Hospital, Aboriginal Health",,,http://www.bcchildrens.ca/aboriginal-patient-liaison-site/Documents/Aboriginal%20Patient%20Liaison%20Handout.2015.pdf,"May 24th, 2021","Children/youth, families, caregivers, clinicians",All,Handout,Non-fillable PDF,Community supports & resource,,,,,,,,,,Community supports & resource,Information about the Aboriginal Patient Liason Program Services,All,,"navigating the health care system, patient, families, communication, sensitive conversations, compliments, culturally safe space, crisis, ward rounds, continuity of care, basic needs support, supplies telephones, computer services, Aboriginal specific funding, Indigenous, First Nations Health Insurance, Frist Nation Bands, Tribal Offices, meal voucher program, advocacy, reduction and removal of system barriers, cultural protocols, spiritual advisor, culturally competent care, training, cultural interpretation, care plans, travel supports, accomadations, taxi passes, transit passes, parking passes, complaints, discharge planning, ",Y,N/A,N/A,,,,BC,132,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,23,Aboriginal Supported Child Development Program,Web-ready,Maddy,,,,,,"External, Aboriginal Supported Child Development",Aboriginal Supported Child Development,,© 2021,https://www.ascdp.bc.ca/,03-Aug-21,"families, caregivers, clinicians, educators, children/youth",All,Website/page,Web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Programs across BC for First Nations, Metis, and Inuit children who require extra support ",,,"child care, daycare, before/after school care, preschool, planning, assistance, screening, assessment, development, cultural safety, cultural sensitivity, indigenous, physical, cognitive, communication, socio-emotional, behaviour",N,N,N,,,All,BC,328,,,Introductory,
,,,,,,,,,24,About Attention-deficit/hyperactivity disorder (ADHD): An Overview,Web-ready,Maddy,N/A,,,,? Complex Developmental Behavioural Conditions,CHADD,CHADD,,© 2021,https://chadd.org/about-adhd/overview/,7-Sep-21,"families, caregivers, children/youth",All,Website/page,web link,Background ,,,,,,,,,,Background ,Information about attention-deficit/hyperactivity disorder,ADHD,,"symptoms, inattentive, hyperactive-impulsive, ADHD throughout the lifespan, causes",Y,N/A,N/A,,,N/A,Universal,556,,,N/A,
"June 22, 2021",,,,,,,,,25,About Autism: Autism Speaks Canada,Ready for Upload,Tanja,,Add,n/a,2-Jun-21,,Autism Speaks,Autism Speaks,,2021,https://www.autismspeaks.ca/about/about-autism/,2-Jun-21,"Families, clinicians, educators",,Website,Web,Community supports,,,,,,,,,,Community supports,Charitable organisation that provides families with information on autism,Autism,varied,"autism, asd, autism spectrum disorder",N,N,N,,Cathy P. ,,Canada,228,,,Beginner,
Sept 21,,,,,,,,,26,About Kid's Health,Web-ready,Anosha,,,,,,"External, Sick Kids",Sick Kids,2021,2021,https://www.aboutkidshealth.ca/,19-Sept-21,All,All,Website/page,web link,community supports and services,,,,,,,,,,community supports and services,"A health education website for children, youth and their caregivers.",various disabilities,,"kids, health, learnining, prevention, children, ",N,N,N,,,"school age, youth, infant",Not applicable ,423,,,Introductory,
,,,,,,,,,27,About My COVID Disability Q,Web-ready,Maddy,N/A,,,,,"External, Child Bright",Child Bright,,,https://www.child-bright.ca/new-blog/2020/5/11/mycovidq,9-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,Twitter question and answers hub for children and youth with disabilities and their families to ask questions relaitng to disabilities and COVID-19 ,,,"COVID-19, twitter, disabilities, children, youth, parents, health, research, science, policy, leisure",N,N/A,N/A,,,,N/A,1276,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,28,Academic Communication Equity BC (ACE-BC),Web-ready,Maddy,,,,,,"External, ACE-BC",ACE-BC,,,https://ace-bc.ca/,03-Aug-21,"families, caregivers, clinicians, educators, children/youth",All,Website/page,Web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Services to support equitable access for students who are deaf, hard of hearing, and deaf-blind",deaf,,"inclusive, accessibility, learning, school, post-secondary, transitions, ",N,N,N,,,Youth,BC,322,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,2021,,,,,,29,Access 2 Program,Ready for upload,Tanja,N/A,Add,N/A,"June 23, 2021",,External: Easter Seals,Easter Seals,?,2021,https://access2card.ca/participating-venues/,"August 30, 2021",All,All,Website/page,web link,Community supports and services,,,,,,,,,,Community supports and services,"The Access 2 card is for people of all ages and types of permanent disabilities who require the assistance of a support person at hundreds of participating entertainment, cultural and recreational venues across Canada.",Varied,Varied,"community support, access, funding, support worker, support person",N,N,N,,Bill M,All,Canada,462,,,Beginner,
June 23-21,,,,,,,,,30,Access Community Therapists Ltd Workshops (seating & dysphagia-related),web-ready,Debbie,,,,,,Access Community Therapists Ltd,,,,https://www.accesstherapists.com/workshops,May 31-21,Clinicians,"OT, PT",website,webpages,Intervention,,,,,,,,,,Intervention,Several workshops available in BC for therapists to learn assessment and intervention strategies for specialized seating or dysphagia management.,those that encompass restricted body movement ,"wheelchair use, mobility, eating, swallowing, ","skin health, pressure injury prevention and management;postural support; seating; sitting posture; positioning; wheelchair; cushions; equipment; prescription; education,  training,",Y,,,,Debbie,,N/A,1108,,,"beginner, intermediate",
June 23-21,,,,,,,,,30,Access Community Therapists Ltd Workshops (seating & dysphagia-related),web-ready,Debbie,,,,,,Access Community Therapists Ltd,,,,https://www.accesstherapists.com/workshops,May 31-21,Clinicians,"OT, PT",website,webpages,Assessment,,,,,,,,,,Assessment,Several workshops available in BC for therapists to learn assessment and intervention strategies for specialized seating or dysphagia management.,those that encompass restricted body movement ,"wheelchair use, mobility, eating, swallowing, ","skin health, pressure injury prevention and management;postural support; seating; sitting posture; positioning; wheelchair; cushions; equipment; prescription; education,  training,",Y,,,,Debbie,,N/A,1109,,,"beginner, intermediate",
June 23-21,,,created in 2008 but much of content still relevant; should be updated,,,,,,31,Access Flow Chart, need to review; brand as SHHC document,Debbie,,"review content, brand as SHHC document & id authors (Roslyn L. , Nicole Wilkins, Kathie Marina, OTs)",,,,Sunny Hill Health Centre,"Roslyn L. , Nicole Wilkins, Kathie Marina, OTs)",2008,,www.seatingandmobility.ca/Libraries/Pdfs/2008Access_flow_chart.sflb.ashx,May 31-21,clinicians,"OT, PT, HCP students",link to pdf,pdf,Assessment,,,,,,,,,,Assessment,Flowchart for determining most suitable access method for power mobility,individuals using power wheelchairs,"wheelchair use,  mobility, hand use, motor control","power wheelchair; mobility; equipment; access method, input,  prescription; training;",N,,,Power Mobility Assessment,Debbie,,N/A,1117,,,all,
