,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
"Vetting completed to criteria objectivity/conflict of interest. Ask Kim re: currency and if applicable, is there a content expert we can contact to ask if we should include or not?",,,2014,,,,Y,,8,A Parent's Handbook on Inclusive Education,Web-ready,Maddy,,,,,,External,InclusionBC,2014,,https://inclusionbc.org/our-resources/parent-handbook/,30-Aug-21,"families/caregivers, clinicians, educators",All,Article or guideline,web link,"Services, Supports & Community Resources",Advocating for Your Family's Needs,Advocacy Tools,,,,,,,,Community Supports and Services,Guide to assist parents of a child with disabilities to understand educational issues and advocate for their child,,,"guide, handbook, inclusive, education, advocacy, school",N,N/A,N/A,,,,BC,251,,,,
"June 22, 2021",,,,,,,Y,Y,11,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM): Early Detection of Cerebral Palsy Care Pathway ,Web Ready,Tanja,,N/A,N/A,11-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-20,https://www.aacpdm.org/publications/care-pathways/early-detection-of-cerebral-palsy,02-01-2022,"Clinicians, Families/caregivers","Physician, nurse, OT, PT, SLP, Occupational therapist, Physical therapist, SLP, Physician, Physician, Occupational therapist, Physical therapist, SLP, Physician, Physician",Website,web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,--,,,,,Assessment,Evidence informed care pathway for early diagnosis of cerebral palsy ,Cerebral palsy ,Other,"early, diagnosis, CP",N,AACPDM Care Pathways: Early Diagnosis - Early Detection of Cerebral Palsy Plain Language Summary,N/A,,Tanja M.,Infant/Toddler (0-3 years),N/A,705,,,Advanced (lay summary beginner),
"June 22, 2021",,,,,,,,,12,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Hip Surveillance in Cerebral Palsy Care Pathway,Web-ready,Tanja,,N/A,N/A,11-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-18,https://www.aacpdm.org/publications/care-pathways/hip-surveillance,02-01-2022,"Clinicians, Families/caregivers","Physician, nurse, OT, PT, SLP",Website,web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Assessment,Evidence informed cared recommendations for hip surveillancein individuals with cerebral palsy ,Cerebral palsy ,"Bone, muscle, skin health","CP, hip displacement, hip dislocation",N,AACPDM Care Pathways: Hip Surveillance - Bottom Line Evidence Informed Recommendation for Hip Surveillance in Individuals wih Cerebral Palsy - Plain Language Summary,N/A,,Tanja M.,All,N/A,704,,,Advanced (lay summary beginner),
"Jun 22, 2021",,,,,,,,,13,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM)  Central Hypotonia Care Pathway,Web-ready,Tanja,,N/A,N/A,11-May-21,Neuromotor,External,AACPDM,Sep-17,Mar-21,https://www.aacpdm.org/publications/care-pathways/central-hypotonia,02-01-2022,"Clinicians, Families/caregivers","Physician, nurse, OT, PT, SLP",Website,web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Assessment,Evidence informed care pathway for assessment and intervention of central hypotonia in children 0-6 years of age,Other,Other,tone,N,AACPDM Care Pathways: Central Hypotonia - Plain Language Summary,N/A,,Tanja M. ,Early Years (0-6 years),N/A,948,,,Advanced (lay summary beginner),
"Jun 22, 2021",,,,,,,,,14,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Dystonia Care Pathway,Web-ready,Tanja,,N/A,N/A,6-May-21,Neuromotor,External,AACPDM,Sep-16,Oct-19,https://www.aacpdm.org/publications/care-pathways/dystonia,02-01-2022,"Clinicians, Families/caregivers, Researchers","Physician, nurse, OT, PT",Website,web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Assessment,Evidence informed care pathway for assessment and management of dystonia in individuals with cerebral palsy,Cerebral palsy ,Other,"CP, movement disorder, tone",N,N/A,N/A,,Diane W. ,All,N/A,944,,,Advanced (lay summary beginner),
"Jun 22, 2021",,,,,,,,,15,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Osteoporosis Care Pathway,Web-ready,Tanja,,N/A,N/A,6-May-21,Neuromotor,External,AACPDM,Sep-17,Nov-19,https://www.aacpdm.org/publications/care-pathways/osteoporosis,02-01-2022,"Clinicians, Families/caregivers, Researchers","Physician, nurse, OT, PT",Website,web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Assessment,Evidence informed care pathway for prevention and management of osteoporosis in children and youth with cerebral palsy,Cerebral palsy ,"Bone, muscle, skin health",CP,N,AACPDM Care Pathways: Osteoporosis - Bottom Lim Evidence Informed Recommendations for Children/Youth with Cerebral Palsy who are Non-Ambulatory and at risk for or have Osteoporosis - Plain Language Summary,N/A,,Diane W. ,All,N/A,945,,,Advanced (lay summary beginner),
"Jun 22, 2021",,,,,,,,,16,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Siahlorrhea Care Pathway,Web-ready,Tanja,,N/A,N/A,6-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-18,https://www.aacpdm.org/publications/care-pathways/sialorrhea,02-01-2022,"Clinicians, Families/caregivers, Researchers","Physician, nurse, OT, PT, SLP",Website,web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Assessment,Evidence informed care pathway for assessment and treatment of sialorrhea in individuals with cerebral palsy,Cerebral palsy ,"Swallowing, eating, drinking  ","CP, drooling",N,AACPDM Care Pathways: Sialorrhea - Bottom Lim Evidence Informed Recommendations for Children/Youth with Cerebral Palsy who have Sialorrhea - Plain Language Summary,N/A,,Diane W. ,All,N/A,946,,,Advanced (lay summary beginner),
June 23-21,,,,,,,Y,Y,17,"Abilities, Canada’s Lifestyle Magazine for people with disabilities",web-ready,Debbie,,,,,,External,Canadian Abilities Foundation,unknown,,https://www.abilities.ca,May 27-21,"Families/caregivers, Clinicians, Educators",all,Website,web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Physical Activity,,Recreation and Leisure Activities,Arts and Cultural Programs,,Equipment and Supplies,Equipment and Maintenace Information,,"Services, Supports and Community Resources","Online publication providing exchange of information, inspiration and opportunities for people with disabilities. Topics include accessibility, health and activity, independent living, work and money, family life, and job board.",All,All,"health, lifestyle, participation, acceptance, inclusion, healthy living, accessibility, assistive technology, well-being, employment",N,N,N/A,,Debbie,All,Canada,207,,,all,
June 23-21,,,,,,,Y,Y,17,"Abilities, Canada’s Lifestyle Magazine for people with disabilities",web-ready,Debbie,,,,,,External,Canadian Abilities Foundation,unknown,,https://www.abilities.ca/,May 27-21,"Families/caregivers, Clinicians, Educators, Children/youth, Health professional students",all,Website,web link,"Services, Supports & Community Resources",Advocating for Your Family's Needs,,,Travel and Transportation,,,Age and Healthcare Transitions,,,"Services, Supports and Community Resources","Online publication providing exchange of information, inspiration and opportunities for people with disabilities. Topics include accessibility, health and activity, independent living, work and money, family life, and job board.",All,All,"health, lifestyle, participation, acceptance, inclusion, healthy living, accessibility, assistive technology, well-being, employment",N,N,N/A,,Debbie,All,Canada,207,,,all,
June 23-21,,,,,,,Y,Y,18,Ability Online Support Network,web-ready,Debbie,,,,,,External,Arlette Lefebvre & Michelle McClure,1991,2022,https://abilityonline.org/,May 27-21,"Children/youth, Families/caregivers, Clinicians",all,Website,web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,,,Find Care and Support Services in BC,Supports for Families,Child/Youth Support Groups,Find Care and Support Services in BC,Supports for Families,Family/Caregiver Support Groups,Community Supports and Services,"Supportive and safe online community platform connecting children and youth who have a variety of disabilities. Fosters positive attitudes, builds self-esteem, and inspires involvement which contributes to emotional health and wellness and promotes inclusion and acceptance. Separate sections to network for parents and professionals who support children and youth. Free membership but provisions in place for screening, safety and respectful communication. ",All,"Communication, Behaviour, emotion, social skills, Play, recreation, physical activity, Personal care, home routines, Learning, education","friendship, acceptance, inclusion, social connection, social support, emotional support, recreation, communication, community, well-being, ",no,N,N,,Debbie,All,Canada,206,,,all,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,Y,Y,19,Ablenet Remarkable Ideas [activity suggestions for using assistive technology],Web-ready,Debbie,,,,,Assistive Technology Team,External,Ablenet,unknown,,https://www.ablenetinc.com/remarkableideas/,May 28-21,"Families/caregivers, Clinicians, Educators, Health professional students, Technician/engineer","SLP, OTs,  recreation therapists, HCP students,",website,web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,,,Equipment and Supplies,Training Resources,,,,,"Services, Supports, and Community Resources","Online collection of freely available activity suggestions using assistive technology (e.g., switches, communication devices, environmental controls) for classroom and home to assist those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment",All,"Assistive technology, Communication, Behaviour, emotion, social skills, Learning, education, Play, recreation, physical activity, Hand, arm use, printing","education, assistive technology, switches, environmental control, play, learning, augmentative and alternate communication, AAC, activity suggestions, assistive device",N,N,N/A,"Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers, needs renaming",Debbie,All,USA,209,,,All,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,Y,Y,19,Ablenet Remarkable Ideas [activity suggestions for using assistive technology],Web-ready,Debbie,,,,,Assistive Technology Team,External,Ablenet,unknown,,https://www.ablenetinc.com/remarkableideas/,May 28-21,"Families/caregivers, Clinicians, Educators, Health professional students, Technician/engineer","SLP, OTs,  recreation therapists, HCP students,",website,web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,Intervention,"Online collection of freely available activity suggestions using assistive technology (e.g., switches, communication devices, environmental controls) for classroom and home to assist those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment",All,"Assistive technology, Communication, Behaviour, emotion, social skills, Learning, education, Play, recreation, physical activity, Hand, arm use, printing","education, assistive technology, switches, environmental control, play, learning, augmentative and alternate communication, AAC, activity suggestions, assistive device",N,N,N/A,"Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers, needs renaming",Debbie,All,USA,210,,,All,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,Y,Y,20,"ableU On-demand Professional Development (Ablenet university recorded webinars related to assistive technology for learning, communication and play)",Web-ready,Debbie,,,,,Assistive Technology Team,External,Ablenet,unknown,,https://www.ablenetinc.com/ablenet-university-recorded-webinars/,May 28-21,"Clinicians, Families/caregivers, Educators, Health professional students","SLP, OTs, psychologists,  recreation therapists, HCP students,",website,web link,"Services, Supports & Community Resources",Equipment and Supplies,Training Resources,,Recreation and Leisure Activities,,,Equipment and Supplies,Equipment and Maintenace Information,,"Services, Supports and Community Resources","Freely available webinars on a variety of topics related to using assistive technology (e.g., switches, communication devices, environmental controls, mounting, toys, computer and mobile technology adaptations) for classroom and home to assist those with disabilities to learn, communicate, interact and control of their environment",All,"Assistive technology, Communication, Hand, arm use, printing, Learning, education, Play, recreation, physical activity","education, assistive technology, switches, environmental control, play, learning, augmentative and alternate communication, AAC, webinar, assistive device",Y,N ,N/A,"Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers, need to rename",Debbie,All,USA,211,,,All,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,Y,Y,20,"ableU On-demand Professional Development (Ablenet university recorded webinars related to assistive technology for learning, communication and play)",Web-ready,Debbie,,,,,Assistive Technology Team,External,Ablenet,unknown,,https://www.ablenetinc.com/ablenet-university-recorded-webinars/,May 28-21,"Clinicians, Families/caregivers, Educators, Health professional students","SLP, OTs, psychologists,  recreation therapists, HCP students,",website,web link,Assessment,Learn About Assessments,Other Assessment Resources,,Access Training on Assessments,"Webinars, Presentations, Blogs, and Podcasts",,Learn About Health Conditions,,,Assessment,"Freely available webinars on a variety of topics related to using assistive technology (e.g., switches, communication devices, environmental controls, mounting, toys, computer and mobile technology adaptations) for classroom and home to assist those with disabilities to learn, communicate, interact and control of their environment",All,"Assistive technology, Communication, Hand, arm use, printing, Learning, education, Play, recreation, physical activity","education, assistive technology, switches, environmental control, play, learning, augmentative and alternate communication, AAC, webinar, assistive device",Y,N ,N/A,"Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers, need to rename",Debbie,All,USA,211,,,All,
June 23-21,,,,product website has invaluable educational webinars and activity suggestions that go well beyond the use of their products,,,Y,Y,20,"ableU On-demand Professional Development (Ablenet university recorded webinars related to assistive technology for learning, communication and play)",Web-ready,Debbie,,,,,Assistive Technology Team,External,Ablenet,unknown,,https://www.ablenetinc.com/ablenet-university-recorded-webinars/,May 28-21,"Clinicians, Families/caregivers, Educators, Health professional students","SLP, OTs, psychologists,  recreation therapists, HCP students,",website,web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,Intervention,"Freely available webinars on a variety of topics related to using assistive technology (e.g., switches, communication devices, environmental controls, mounting, toys, computer and mobile technology adaptations) for classroom and home to assist those with disabilities to learn, communicate, interact and control of their environment",All,"Assistive technology, Communication, Hand, arm use, printing, Learning, education, Play, recreation, physical activity","education, assistive technology, switches, environmental control, play, learning, augmentative and alternate communication, AAC, webinar, assistive device",Y,N ,N/A,"Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers, need to rename",Debbie,All,USA,211,,,All,
02 May 2022,,,,,,,Y,Y,21,Aboriginal Infant Development Programs of B.C. ,Web-ready,Salina,,,,,,External,Aboriginal Infant Development Programs,unknown,2022,https://www.aidp.bc.ca/aidp-programs,"May 2, 2022","Families, caregivers, clinicians",all,Website/page,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,--,Funding and Financial Supports,Charities and Grants,--,Find Care and Support Services in BC,Assessment and Treatment Services,Early Intervention Services,community supports & services,"offer support to families of infants who are at risk for or have been diagnosed with developmental delays. Programs are voluntary, family centered, and primarily focused on children ages 0-3 (in some communities 0 – 6); support families by providing home visits, activity planning, and developmental and family needs assessments in culturally sensitive and meaningful ways. Consultants also assist families in accessing other health, social, and community services; offer consultants ongoing, culturally relevant expert support and training.",All,All,"community, needs, gaps, children, birth, age six, early prevention, intervention, support services, learning, education, ",N,N,N,,,"Infant/Toddler (0-3 years), Early Years (0-6 years)",BC,476,,,,
"looks like the same site as the one above (line 27)?
Salina",,,,,,Grade 10,,,21,Aboriginal Infant Development Programs of B.C. ,,Claire,,,,,,External,Aboriginal Infant Development Programs,,,https://www.aidp.bc.ca/aidp-programs,"July 26, 2021","Families, caregivers, clinicians",all,Website/page,web link,,,,,,,,,,,"community supports & services, intervention",Information about Aboriginal Infant Development programs in British Columbia,various disabilities,,"community, needs, gaps, children, birth, age six, early prevention, intervention, support services, learning, coast fraser north, vancouver island, coast fraser south, interior, north, Indigenous, Indigenous services and supports",N,N,N,,,Early Years,BC,1347,,,original sources,
,,,,,,,Y,,23,Aboriginal Supported Child Development Program,Web-ready,Maddy,,,,,,External,Aboriginal Supported Child Development,,© 2021,https://www.ascdp.bc.ca/,20-Nov-21,"families, caregivers, clinicians, educators, children/youth",All,Website,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Indigenous Services and Supports,,,,,,,,Community Supports and Services,"Programs across BC for First Nations, Metis, and Inuit children who require extra support ",,,"child care, daycare, before/after school care, preschool, development, cultural safety, indigenous, physical, cognitive, communication, behaviour",N,N,N,,,All,BC,328,,,Introductory,
"June 22, 2021",,,,,,,Y,Y,25,About Autism: Autism Speaks Canada,Web-ready,Tanja,,Add,n/a,2-Jun-21,,External,Autism Speaks,,2021,https://www.autismspeaks.ca/about/about-autism/,16-Feb-22,Families/caregivers,,Website,web link,Making Treatment Choices,Learn About Health Conditions,,,,,,,,,Background,Charitable organisation that provides families with information on autism,Autism spectrum disorder,All,"autism, asd, autism spectrum disorder",N,N,N,,Cathy P. ,All,Canada,228,,,Beginner,
"June 22, 2021",,,,,,,Y,Y,25,About Autism: Autism Speaks Canada,Web-ready,Tanja,,Add,n/a,2-Jun-21,,External,Autism Speaks,,2021,https://www.autismspeaks.ca/about/about-autism/,16-Feb-22,Families/caregivers,,Website,web link,Assessment,Learn About Health Conditions,,,,,,,,,Background,Charitable organisation that provides families with information on autism,Autism spectrum disorder,All,"autism, asd, autism spectrum disorder",N,N,N,,Cathy P. ,All,Canada,228,,,Beginner,
Sept 21,,,,,,,,,26,About Kid's Health,Web-ready,Anosha,,,,,,External,Sick Kids,2021,2021,https://www.aboutkidshealth.ca/,19-Sept-21,All,All,Website/page,web link,,,,,,,,,,,community supports and services,"A health education website for children, youth and their caregivers.",various disabilities,,"kids, health, learnining, prevention, children, ",N,N,N,,,"school age, youth, infant",Not applicable ,423,,,Introductory,
,,,,,,,Y,,27,About My COVID Disability Q,Web-ready,Maddy,N/A,,,,,External,Child Bright,,,https://www.child-bright.ca/new-blog/2020/5/11/mycovidq,24-Nov-21,"families, caregivers, clinicians",All,Website,web link,Making Treatment Choices,COVID-19 Resources,,,,,,,,,Intervention,Twitter question and answers hub for children and youth with disabilities and their families to ask questions relaitng to disabilities and COVID-19 ,,,"COVID-19, twitter, disabilities, children, youth, parents, health, research, science, policy, leisure",N,N/A,N/A,,,,N/A,1276,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,Y,,28,Academic Communication Equity BC (ACE-BC),Web-ready,Maddy,,,,,,External,ACE-BC,,,https://ace-bc.ca/,24-Nov-21,"families, caregivers, clinicians, educators, children/youth",All,Website,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,School Supports,Other Resources,,,,,,,Community Supports and Services,"Services to support equitable access for students who are deaf, hard of hearing, and deaf-blind",deaf,,"inclusive, accessibility, learning, school, post-secondary, transitions",N,N,N,,,Youth,BC,322,,,Introductory,
